id,label,Aaron,Abby,Agnes,Alfredia,Alma.pol,Annie,arabtaxilondon,Blair,Bruce,calamtyjane67,Charles,chelseavmarsh,Cherly,Cheryll,Chester,Daisy,Deanne,Dedra,Donette,Dorcas,Dorethea,Elfriede,Evelynn,Gema,gracewoolford,Guy,idrisjacobs,jadesophiee,Jae,JenniferCimelli,Jessika,Jonell,Josette,Justa,Justina,Kala,Kandis,Karon,Katheleen,Kattie,Kellee,Kraig,lauraaolearyy,Lea,Lera,Lisette,Loise,Loreta,lorettamangan,Lucio,Maaz,Madelene,Marcie,Marcy,Maribel,Marx,Mathew,Matilda,maxruswell,Meaghan,Merideth,Michel,Ramonita,Reanna,Rosalba,samharris_6,Serina,Sharita,Somer,still_les,Tamika,Tamra,Telma,Tresa,Trilla_Ruben,Venice,Vincenzo,Weyinmi,Yen,Yung,Zenaida,Zenobia,Zola
94,lauraaolearyy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Lea,0,8,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,7,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,2,0,0,0,12,19,4,0,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,1,0
46,Lisette,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Loise,0,14,11,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,12,0,0,3,0,0,0,0,0,2,3,0,0,0,0,0,3,3,0,0,1,0,12,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0,8,0,0
48,Loreta,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,lorettamangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Lucio,0,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Maaz,0,19,15,0,4,7,1,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,5,14,3,0,0,0,6,0,3,1,2,0,4,2,12,0,1,1,2,0,0,3,1,0,4,0,0,2,0,0,1,0,1,0,0,2,1,0,3,0,0,0,2,0,4,0,1,0,0,0,0,2,0,2,0,0,1,1,1,1,0
51,Madelene,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
53,Marcie,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,Maribel,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,Marx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Mathew,0,10,1,0,0,0,0,1,1,0,6,3,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,1,0,0,5,1,0,0,4,0,0,0,0,1,0,1,1,0,0,2,33,3,0,0,0,1,7,0,0,8,0,0,1,0,1,0,0,0,1,0,0
58,Matilda,0,3,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,1,0,3,1,0,0,0,3,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
89,maxruswell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,Meaghan,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
60,Merideth,0,8,6,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
62,Michel,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Ramonita,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,66,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,24,0,0,10,5,0,0,0,2,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,55,0,0,0,0,1,0
65,Reanna,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
66,Rosalba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
67,Serina,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Sharita,0,2,1,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,12,0
69,Somer,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,37,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,11,0,6,0,0,8,8,0,0,0,0,0,5,0,0,5,1,1,0,0,0,65,0,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,3,1
93,still_les,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
